"","AuctionID","Name","Rank","Region","Forest","District","Acres","Salvage","Method.of.Sale","Sale.Size","Species","Road.Construction","Haul","num_bidders","log_amount","log_value"
"104",57,"STANLEY STOWE & G. HENSLE",3,1,4,3,54,"Y","S",5,17,0,21,5,12.8020589347752,9.88669738322865
"105",57,"JERRY LONG",5,1,4,3,54,"Y","S",5,17,0,21,5,12.3910988747313,9.88669738322865
"106",60,"REGULUS STUD MILL, INC.",1,1,4,4,587,"N","A",6,17,0,4,1,16.2303004907017,9.90223677063448
"107",61,"DIAMOND INTERNATIONAL COR",2,1,4,4,1770,"N","A",8,17,213,12,2,18.8915910245655,10.0759271094756
"108",61,"POTLATCH CORPORATION",1,1,4,4,1770,"N","A",8,17,213,12,2,18.8919641164772,10.0759271094756
"109",62,"POTLATCH CORPORATION",2,1,4,4,120,"N","A",6,17,12,32,2,16.1547708192674,10.0843914382425
"110",62,"DIAMOND INTERNATIONAL COR",1,1,4,4,120,"N","A",6,17,12,32,2,16.1611129939367,10.0843914382425
"111",63,"DIAMOND INTERNATIONAL COR",2,1,4,4,440,"N","A",7,17,5,32,2,18.7406528853387,10.0802520306635
"112",63,"POTLATCH CORPORATION",1,1,4,4,440,"N","A",7,17,5,32,2,18.7416895353952,10.0802520306635
"113",64,"POTLATCH CORPORATION",1,1,4,4,1600,"N","A",7,17,60,17,1,18.5058263481366,10.0861007334703
"114",65,"THE PACK RIVER COMPANY",1,1,4,6,595,"N","S",7,17,45,16,3,17.6058749523864,9.91724251776846
"115",65,"LOUISIANA-PACIFIC CORP.",3,1,4,6,595,"N","S",7,17,45,16,3,17.3299973384474,9.91724251776846
"116",65,"BRAND-S CORPORATION",2,1,4,6,595,"N","S",7,17,45,16,3,17.4770023711592,9.91724251776846
"117",66,"DAWSON, DONALD E.",3,1,4,6,70,"Y","S",5,119,0,20,6,13.1880406249468,10.4525333891218
"118",66,"EBY, DARRELL",5,1,4,6,70,"Y","S",5,119,0,20,6,13.1021606700868,10.4525333891218
"119",66,"FINKELNBURG, DAVE",1,1,4,6,70,"Y","S",5,119,0,20,6,14.1964848664498,10.4525333891218
"120",66,"LONG, JERRY",4,1,4,6,70,"Y","S",5,119,0,20,6,13.1480311241529,10.4525333891218
"121",66,"U.S. CEDAR, INC.",2,1,4,6,70,"Y","S",5,119,0,20,6,13.5954871339863,10.4525333891218
