BK,Ownership,Mall,Playland,DriveThru,Lon,Lat,Price,Opening,Address,,
2,9,0,0,0,-121.90492,37.27146,3.29,740110,"3085 Meridian Ave, San Jose, CA 95124",,
2,9,0,0,0,-121.79159,37.3155,3.29,801112,"3221 S White Rd, San Jose, CA 95148",,
2,1,0,1,0,-121.83028,37.25121,2.99,740118,"456 Blossom Hill Rd, San Jose, CA 95123",,
2,2,0,0,1,-121.99177,37.32298,3.59,951121,"5122 Stevens Creek Blvd, San Jose, CA 95129",,
2,0,0,1,1,-121.99626,37.29223,4.09,771101,"18578 Prospect Rd, Saratoga, CA 95070",,
2,10,0,0,0,-121.79759,37.25412,3.39,970129,"5508 Monterey Hwy, San Jose, CA 95138",,duplicate
2,10,0,0,1,-121.79738,37.2537,3.39,911126,"5508 Monterey Hwy, San Jose, CA 95138",,duplicate
2,0,0,1,1,-121.84729,37.30821,3.19,870413,"585 Tully Rd, San Jose, CA 95112",,
2,10,0,1,0,-121.8721,37.23631,3.39,931100,"5925 Almaden Expy, San Jose, CA 95120",,
2,1,0,0,0,-121.80248,37.23668,2.99,830500,"6199 Santa Teresa Blvd Suite C, San Jose, CA 95123",,
2,2,0,0,1,-121.93059,37.31101,3.29,740228,"898 S Bascom Ave, San Jose, CA 95128",,
2,1,0,0,0,-121.88417,37.33251,2.99,740304,"148 E San Carlos St, San Jose, CA 95112",,
2,0,1,0,0,-121.81425,37.32651,3.29,820412,"2200 Eastridge Loop, San Jose, CA 95122",,
2,0,0,0,1,-121.93803,37.35837,3.39,971119,"1451 Coleman Ave, Santa Clara, CA 95050",,
2,0,0,1,1,-121.95868,37.35218,2.99,790111,"1950 El Camino Real, Santa Clara, CA 95050",,
2,1,0,0,1,-121.97723,37.38161,2.99,800724,"2850 Augustine Dr, Santa Clara, CA 95054",,
2,1,0,1,1,-121.99207,37.33778,2.99,910228,"3509 Homestead Rd, Santa Clara, CA 95051",,
2,0,0,0,1,-121.96827,37.32299,3.59,881221,"3895 Stevens Creek Blvd, Santa Clara, CA 95051",,
2,8,0,0,1,-122.05439,37.37347,3.69,740109,"601 S Bernardo Ave, Sunnyvale, CA 94087",,
2,8,1,0,0,-122.03212,37.37347,3.69,841121,"298 W McKinley Ave, Sunnyvale, CA 94086",,
2,1,0,0,1,-121.99472,37.38646,2.99,771205,"550 Lawrence Expy, Sunnyvale, CA 94086",,
2,8,0,0,1,-122.02577,37.36258,3.69,740109,"556 E El Camino Real, Sunnyvale, CA 94086",,
2,0,0,0,1,-122.02883,37.39239,3.59,840104,"696 N Mathilda Ave, Sunnyvale, CA 94085",,
