"","Hospital.Name","Profile.Page","File.Number","Discharges","X..of.Discharges","LOS","X..of.LOS","Avg..LOS","Charges","X..of.Charges","Avg.Charges","Discharges_0_24_female","Discharges_0_24_male","Discharges_25_54_female","Discharges_25_54_male","Discharges_55_female","Discharges_55_male","county","drop","Discharges_0_24_female_fw","Discharges_25_54_female_fw","Discharges_55_female_fw","Discharges_0_24_male_fw","Discharges_25_54_male_fw","Discharges_55_male_fw","Discharges_0_24_female_cw","Discharges_25_54_female_cw","Discharges_55_female_cw","Discharges_0_24_male_cw","Discharges_25_54_male_cw","Discharges_55_male_cw"
"74","H LEE MOFFITT CANCER CENTER & RESEARCH INSTITUTE HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10076",110009,3828,"0.5947433266163175320327077800",25243,"0.9307509906489815497964500700",6.59430512016719,341093640,"0.8641649267317983926576101300",89104.921630094,60,102,843,846,883,1094,"Hillsborough",0,0.0156739811912226,0.220219435736677,0.230668756530825,0.0266457680250784,0.221003134796238,0.285788923719958,0.00825763831544178,0.0487903692557009,0.128848679410477,0.0156947222649638,0.11001300390117,0.1467668365978
"75","HALIFAX HEALTH MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9840",100017,4187,"0.6505199343110035283753781200",19153,"0.7062026591094538534742862700",4.57439694291856,169551288,"0.4295602708153750624943565100",40494.6950083592,529,450,1262,547,661,738,"Volusia",0,0.126343443993313,0.30140912347743,0.157869596369716,0.107475519465011,0.130642464771913,0.176259851922618,0.513094083414161,0.3813841039589,0.315362595419847,0.510783200908059,0.326957561267185,0.315789473684211
"76","HALIFAX HEALTH MEDICAL CENTER- PORT ORANGE","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=165514",23960051,239,"0.0371326162647073903228362500",647,"0.0238559557481238784105812800",2.7071129707113,5809339,"0.0147180317149718151959771800",24306.8577405858,0,0,60,52,57,61,"Volusia",0,0,0.251046025104602,0.238493723849372,0,0.217573221757322,0.255230125523013,0,0.0181323662737987,0.0271946564885496,0,0.0310818888224746,0.0261018399657681
"78","HEALTHMARK REGIONAL MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9896",100081,49,"0.0076129631672412641247655900",200,"0.0073743294430058356756047200",4.08163265306122,575645,"0.0014584036783814734444810800",11747.8571428571,0,0,0,0,0,0,"Walton",0,0,0,0,0,0,0,0,0,0,0,0,0
"79","HEALTHPARK MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10146",120005,7426,"1.1537523363251760691940668600",26987,"0.9950551433919924368877232500",3.63412335039052,267197097,"0.6769471273400296414420965000",35981.2950444385,1704,1533,2421,415,580,773,"Lee",0,0.229464045246431,0.3260166980878,0.0781039590627525,0.206436843522758,0.0558847293293833,0.104093724750875,0.699220352892901,0.447504621072089,0.198494182067077,0.724137931034483,0.171063478977741,0.23858024691358
"88","HEALTHSOUTH RIDGELAKE HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=165500",23960049,157,"0.0243925554542220095426162800",4724,"0.1741816614437978386577835500",30.0891719745223,25851626,"0.0654954120170280933833468200",164660.03821656,0,0,0,0,41,77,"Sarasota",0,0,0,0.261146496815287,0,0,0.490445859872611,0,0,0.019893255701116,0,0,0.0353373106929784
"92","HENDRY REGIONAL MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9908",100098,75,"0.0116524946437366287623963100",192,"0.0070793562652856022485805300",2.56,1149058,"0.0029111525573463838184446000",15320.7733333333,0,0,0,0,0,0,"Hendry",0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"93","HIALEAH HOSPITAL","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9871",100053,2019,"0.3136851558093900462837087200",5348,"0.1971895693059760459656702800",2.64883605745419,98273082,"0.2489760603752037576810564900",48674.1367013373,169,131,690,340,369,320,"Miami-Dade",0,0.0837048043585934,0.341753343239227,0.182763744427935,0.0648836057454185,0.16840019811788,0.158494304110946,0.0213978222334768,0.0298533292952018,0.0357696781698333,0.0170019467878001,0.0303246521584017,0.0261352499183273
"94","HIGHLANDS REGIONAL MEDICAL CENTER","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=9867",100049,397,"0.0616805383141792215822844800",1179,"0.0434716720665194013076898400",2.96977329974811,22340986,"0.0566011624544102717517282700",56274.523929471,35,0,125,62,78,73,"Highlands",0,0.0881612090680101,0.314861460957179,0.19647355163728,0,0.156171284634761,0.183879093198992,0.183246073298429,0.267094017094017,0.295454545454545,0,0.289719626168224,0.27037037037037
"95","HOLLYWOOD PAVILION","http://www.floridahealthfinder.gov/facilitylocator/FacilityProfilePage.aspx?id=10059",104015,774,"0.1202537447233620088279299400",5510,"0.2031627761548107728629101100",7.11886304909561,7696554,"0.0194993140989006122957980100",9943.86821705426,178,166,137,165,59,69,"Broward",0,0.229974160206718,0.177002583979328,0.0762273901808786,0.214470284237726,0.213178294573643,0.0891472868217054,0.0206448619809789,0.00642951004317627,0.00691838649155722,0.0210286293387383,0.0177000643638704,0.00706677591151168
